Ticker,n_fast,n_slow,Train_Return[%],Train_Sharpe,Train_MaxDD[%],Train_Trades,Test_Return[%],Test_Sharpe,Test_MaxDD[%],Test_Trades
AMT,10,100,-47.516607972026186,-0.14720008814001992,-85.56774998324778,77,-46.32855893110596,-0.5106118842087226,-58.047638602917196,32
AMT,10,150,-28.857402094365863,-0.08379224848512716,-83.32538411691415,67,-42.41495769227985,-0.4553036675788186,-55.97010955050763,28
AMT,10,200,-31.82219062543425,-0.09174685654992826,-82.96835523653299,59,-27.870662954208875,-0.26478514111733986,-48.74195423951122,26
AMT,20,30,76.70745258450123,0.1120130996989108,-72.40805734078228,180,-30.315473974218182,-0.28239113941036853,-50.66894373342523,58
AMT,20,50,217.28144960246368,0.23635436752551628,-63.94729916048154,90,-32.82700805758243,-0.3219344578242022,-46.80356020273317,39
AMT,20,100,-29.619180362127135,-0.08117693818849439,-88.20045474344865,59,-20.811635191793627,-0.1919011438201168,-49.28370539258155,25
AMT,20,150,21.35390399726044,0.04735773943192043,-78.38803049696969,49,-22.26974384648619,-0.20632152112166824,-48.45708187161697,25
AMT,20,200,31.860453993969678,0.06932388425593923,-80.36420903612765,43,-23.786656620886507,-0.2218721635335793,-47.55379846796137,21
AMT,30,50,166.2905446735164,0.18457627394389103,-83.10066154575057,103,-8.854275849907754,-0.07512401899674605,-38.004232869467224,39
AMT,30,100,74.364579278061,0.1238852039690439,-78.88799578866757,57,21.52108978788308,0.16048804489032611,-38.039496656416816,23
AMT,30,150,175.77378476525752,0.23865017966458463,-65.4279317146176,40,-11.543303106940584,-0.10238816752964854,-52.48419219593159,20
AMT,30,200,275.15604804025384,0.3287482103218753,-57.674470671104494,31,9.42522230130733,0.07238386368607092,-39.62675047257189,14
AMT,50,100,116.89508441638942,0.17092311246576825,-75.93983514885629,53,2.9695126841508137,0.024594147630682562,-45.688650070206215,18
AMT,50,150,249.06447846813805,0.30100145607510753,-51.21291929614152,32,6.552226260743301,0.054487881468494294,-38.56908327962484,15
AMT,50,200,409.789435335991,0.418886541325024,-44.48037027610865,28,24.644956589977372,0.18700461773400912,-30.214519073558122,10
AMT,100,150,653.9096651244685,0.5376786874402472,-33.67534395336006,32,0.27102634616356225,0.0023012169292327173,-31.430285958836457,13
AMT,100,200,201.68058512177285,0.3279898049171378,-64.20836482247181,27,28.946112738402864,0.20618058313991,-35.135794896982,8
AMT,150,200,281.4271844902238,0.37513265789577754,-61.28895374452183,32,13.201527413688963,0.08834476578325295,-44.378315888994265,11
AMZN,5,10,-92.57561450529758,-0.5053724424671947,-94.54879709459524,418,-48.134982557106056,-0.40396270506044535,-67.81916359027453,175
AMZN,5,20,-93.84858114045058,-0.5495318428198647,-94.98629282106522,252,-69.34129195251467,-0.7923828950212026,-76.67319410279964,107
AMZN,5,30,-87.08139570704671,-0.39767368220002,-91.89104231778933,188,-64.89697877780914,-0.7020426584622709,-74.5939277598366,83
AMZN,5,50,-75.46146310418067,-0.26948801945398054,-84.68171811662162,146,-54.5320419953918,-0.5460910566302681,-67.93518709141703,65
AMZN,5,100,-44.493956284660136,-0.11816504070274736,-70.04233055090039,102,-20.299265219421358,-0.1443764917698693,-54.28249507026446,48
AMZN,5,150,-44.79995038022994,-0.12109200408035575,-59.84853292377779,84,-14.647805222625685,-0.1054839142482942,-54.39409772532946,30
AMZN,5,200,-0.36003890622381735,-0.0007118942679980827,-62.16476731756926,62,44.46042414657595,0.21725936792437298,-52.13743713102621,25
AMZN,10,20,-95.53856969794305,-0.5713157455111801,-97.42006962338517,227,-49.67191904094685,-0.4302521378706654,-67.70239893388266,100
AMZN,10,30,-86.19561039465003,-0.3510261782279493,-92.95100530553054,158,-42.74318581474313,-0.35691041498660164,-67.57179435345418,66
AMZN,10,50,-46.369230508533896,-0.10999568065606279,-79.50203263647617,113,-23.372387733421345,-0.16171911716213697,-61.2153064311018,49
AMZN,10,100,-20.13687922163549,-0.044368922483549914,-62.07276504478788,74,24.808052278900178,0.131043037465362,-40.7312409143139,33
AMZN,10,150,-20.568148941965063,-0.045881188095754144,-55.53020478722489,62,35.6391844256592,0.1804157166568527,-48.192579767358545,25
AMZN,10,200,-8.830508800675926,-0.018147321432023217,-61.108786953528416,48,91.8854252492523,0.38161172769013907,-33.6908329725722,18
AMZN,20,30,4.2901903028881865,0.007109433746330262,-70.77765431928553,158,-34.12160141700744,-0.2481215248357653,-63.71585866050082,64
AMZN,20,50,404.0209706001504,0.2731682363963189,-50.45234904942693,95,25.4614480713271,0.13079918695068002,-56.406380239859686,42
AMZN,20,100,37.883252749466386,0.06361494786949724,-50.13532492921768,57,38.15713200706481,0.19015711984254474,-44.694803170555794,25
AMZN,20,150,122.03362062802927,0.14718443886986704,-44.557501197425545,41,105.24339887825016,0.41517547452427284,-41.81211946007281,19
AMZN,20,200,144.39580927254207,0.16955062154879677,-47.74171540383908,35,134.99089040534975,0.4923125847506362,-39.54710122766928,15
AMZN,30,50,602.6853822069584,0.33088437059200054,-43.378191756675164,94,153.43195954677594,0.5239535966744848,-36.63001981725096,45
AMZN,30,100,75.20702843457963,0.11043068200077726,-46.62027028782719,46,58.95855473285668,0.2707427212470939,-47.39224770454064,21
AMZN,30,150,111.57181828826906,0.13578309410907158,-59.33226917351626,39,131.39420678215032,0.478217630443842,-32.79018648514958,16
AMZN,30,200,204.01278443192473,0.19605685994020308,-43.20374406935316,27,133.30870339088432,0.4539741845522637,-38.80041777876584,13
AMZN,50,100,80.37468655035326,0.11461503561467909,-58.85509881727824,44,54.50254323890679,0.26183300761634043,-48.84072495159004,22
AMZN,50,150,331.1280935163464,0.25343362522158464,-54.02881815689705,31,184.72106726341244,0.5777499286034298,-33.24294132601368,13
AMZN,50,200,181.10408236695184,0.2025854566728296,-47.32169270395147,23,179.5889531633376,0.5407825747352397,-28.895706084974737,10
AMZN,100,150,670.8920356779039,0.3477833172536889,-41.24942178714102,27,187.73222150508872,0.5889789138284925,-36.08670077118732,13
AMZN,100,200,535.0248008887106,0.3704306934833474,-45.3090434915579,20,146.2824418579865,0.5004983248822226,-31.441170549411645,8
AMZN,150,200,245.28297513101586,0.21252324282349366,-61.73484878663482,26,232.8246839771271,0.6227584184052449,-39.790194409373505,11
AVGO,5,10,-68.9472927816983,-0.515418946517212,-76.28685385845344,260,6.123192679925197,0.05305541586549489,-32.14480648152056,118
AVGO,5,20,-49.02835449779437,-0.2857452350106164,-69.98283941053485,164,-26.230196063406307,-0.29290337388788734,-47.83334734452086,66
AVGO,5,30,-30.24332195954474,-0.14944202296542616,-58.5046810152497,127,20.238826005339288,0.15093002764376795,-39.50060720626563,54
AVGO,5,50,-22.26443030285588,-0.11141869153417762,-56.83491877328226,91,45.43506269975998,0.30406611669001404,-34.737926609781546,46
AVGO,5,100,45.12069556763992,0.16657550872203172,-42.31852146186018,57,59.40757897069554,0.35539813735959924,-33.36812977784391,27
AVGO,5,150,41.43135969735573,0.1548457621384664,-38.44295214022632,52,40.86157807725965,0.272945091786811,-29.802739785082956,20
